Timestamp,Open,Close,Low,High,Volume_(BTC),Volume_(Currency),Weighted_Price,hash_rate,Search_volume,Block_size,Difficulty,active_addresses,Block_time,Average fees,mining_profitability,Transactions,Tweets_volume,total,sentimentScore
2016-10-21,628.05,629.0,627.5,632.36,3050.509329030001,1919969.0537213832,629.0,2107602.62,3.0,791003.0,258522748405.0,515509,8.78,0.18100000000000002,0.726,265191,15145,1,0.738
2016-11-12,716.39,702.28,701.0,716.39,2811.5510698399958,1988237.320697884,702.28,2126416.01,3.0,710320.0,254620187304.0,506675,8.571,0.204,0.741,228718,17540,1,0.0
2016-12-23,858.94,914.0,858.93,920.0,16526.62879671,14837057.963418407,914.0,2343510.43,4.0,887907.0,310153855703.0,561045,9.474,0.295,0.758,304845,29448,2,0.19415
2017-01-09,909.8,896.23,875.0,912.87,8716.182940960003,7780059.062814793,896.5726817999997,2147763.14141322,6.0,922920.0,317688400354.0,513475,10.588,0.337,0.636,269811,23277,1,0.6908
2017-02-23,1130.02,1188.11,1120.73,1193.92,11753.238560180005,13558056.02748755,1182.0845718,3286693.16849383,5.0,960629.0,440779902287.0,599019,9.6,0.74,0.7859999999999999,325763,27929,1,0.0
2017-02-27,1180.46,1194.64,1169.0,1197.99,4640.773589769995,5511306.897061625,1194.5195625,3155225.44175,6.0,945066.0,440779902287.0,556794,10.0,0.812,0.6559999999999999,284411,24703,1,0.6114
2017-03-11,1111.55,1176.55,1106.51,1198.0,7346.786992700008,8529224.302650671,1176.5569650999996,3412840.38513,7.0,997493.0,460769358091.0,603874,9.664,0.9059999999999999,0.725,280532,30193,1,0.0
2017-03-19,969.4,1017.97,969.4,1063.7,12201.861411559996,12333561.007462936,1017.9019398,3925474.04529489,6.0,888973.0,475705205062.0,617858,8.727,0.797,0.655,269171,26859,1,0.8016
2017-03-31,1033.79,1070.31,1031.43,1081.0,12058.788094560005,12711331.62186866,1070.8575885,3352999.96635355,5.0,960445.0,499635929817.0,564448,10.667,0.8859999999999999,0.5489999999999999,259268,24542,1,0.0
2017-04-05,1143.0,1134.58,1111.0,1145.0,5588.9764082400025,6299621.447736324,1134.8687618,4023599.95962,5.0,966776.0,499635929817.0,668462,8.889,0.843,0.7070000000000001,316393,28967,1,-0.3182
2017-05-08,1554.38,1649.54,1554.38,1653.97,19262.35352625003,30652223.05693486,1649.54,4670548.93922,9.0,968061.0,521974519554.0,758420,8.0,1.3880000000000001,0.9359999999999999,364916,29244,1,0.0
2017-05-12,1830.85,1691.51,1650.0,1832.0,17062.84462773,29856372.54189028,1691.546832,4286790.82682718,9.0,954498.0,559970892891.0,662980,9.351,1.788,1.0090000000000001,317544,35985,1,0.4696
2017-05-28,2042.89,2178.81,2041.48,2313.96,15375.21812611001,33655092.719344266,2176.4518943000007,4887867.46412,12.0,977899.0,595921917085.0,722868,8.727,2.9539999999999997,1.045,307978,33992,1,-0.8712
2017-06-09,2805.46,2822.32,2780.43,2868.23,8036.313569409995,22701156.24232437,2823.6452884,5094943.56099,12.0,973457.0,678760110083.0,637712,9.536,4.541,1.273,282033,38824,1,-0.0772
2017-06-12,2954.23,2667.06,2480.03,2980.0,31534.94605549997,85799286.22295316,2666.6605971999998,4959978.16864,13.0,967512.0,678760110083.0,623992,9.796,4.265,1.203,268951,42206,3,0.1589
2017-07-12,2301.55,2388.0,2239.54,2408.84,12883.554938090005,30256255.57167053,2384.5361186,6235294.60611,10.0,881481.0,708659466230.0,629432,8.136000000000001,2.025,0.953,256961,41059,2,-0.009599999999999996
2017-07-17,1917.72,2226.0,1910.57,2229.97,26448.50140255001,55057438.35265659,2225.017441,5918988.32317922,12.0,945205.0,804525194568.0,588715,9.73,1.767,0.698,230167,42841,1,-0.5106
2017-08-12,3651.74,3855.1,3586.95,3934.0,12351.074661429988,46799798.39952135,3855.1,6195712.24308,14.0,979832.0,923233068449.0,578782,10.667,3.06,1.173,260386,44387,2,0.1591
2017-08-13,3855.04,4053.87,3841.71,4190.0,15889.82978853996,63672103.44901304,4045.4102305,6792336.38500398,20.0,983237.0,923233068449.0,600939,9.73,2.9130000000000003,1.226,263162,47827,1,0.0
2017-08-14,4053.87,4306.23,3964.96,4329.43,14212.30420724002,59836002.81465888,4327.2047748,5966241.41926,20.0,955180.0,923233068449.0,572827,11.077,4.086,1.232,255232,57531,1,0.0
2017-08-18,4260.47,4100.0,3964.96,4368.0,17516.993360760014,73224029.24298483,4100.0,6838230.5497699985,20.0,959904.0,923233068449.0,605239,9.664,4.591,1.248,312101,61067,1,-0.5859
2017-08-26,4348.17,4333.38,4232.43,4369.78,6559.6686037499985,28227915.27909744,4333.38,4635882.55746,16.0,997706.0,888171856257.0,511783,13.714,8.122,1.723,226380,50258,1,0.0
2017-08-29,4385.0,4578.82,4336.26,4649.78,11879.642830689972,53491168.40298102,4578.82,6578538.10535,17.0,996219.0,888171856257.0,645223,9.664,7.351,1.785,280967,60452,1,0.2023
2017-09-05,4282.53,4396.52,4001.93,4474.88,20884.219693529973,88444473.14907224,4393.342065999998,8697798.70304,18.0,758939.0,888171856257.0,669751,7.31,4.354,1.514,277751,61290,1,0.0
2017-09-12,4198.89,4172.56,4080.0,4377.65,13294.43769741998,56268039.79270885,4170.648228900001,8623352.00004277,21.0,698755.0,922724699726.0,633035,7.66,2.484,1.3119999999999998,256042,64321,1,0.0382
2017-09-17,3669.07,3662.99,3463.0,3772.52,11770.217650490005,42657776.56350233,3660.9883975000002,8072925.27664,16.0,569002.0,922724699726.0,473746,8.182,1.847,1.0590000000000002,197507,52831,1,0.0
2017-09-19,4102.0,3888.8,3848.35,4119.7,15278.930440400018,60404491.57382608,3889.6504935000003,8556655.83041,16.0,929931.0,1103400932964.0,246700,9.231,2.444,1.113,282761,71751,1,-0.0516
